2019-08-22 12:59:07.636 [main] INFO  infoLogger - Купчино
2019-08-22 12:59:11.016 [main] INFO  infoLogger - фыва
2019-08-22 12:59:14.269 [main] INFO  infoLogger - Озерки
2019-08-22 13:03:44.530 [main] INFO  infoLogger - 
2019-08-22 13:03:45.615 [main] INFO  infoLogger - 
2019-08-22 13:03:46.303 [main] INFO  infoLogger - 
2019-08-22 13:03:47.631 [main] INFO  infoLogger - 
2019-08-22 13:03:50.031 [main] INFO  infoLogger - 
2019-08-22 13:03:50.655 [main] INFO  infoLogger - 
2019-08-22 13:04:09.815 [main] INFO  infoLogger - *-
2019-08-22 13:04:11.174 [main] INFO  infoLogger - 
2019-08-22 13:04:11.839 [main] INFO  infoLogger - 
2019-08-22 13:04:14.382 [main] INFO  infoLogger - 
2019-08-22 13:04:18.639 [main] INFO  infoLogger - ё
2019-08-22 13:04:24.718 [main] INFO  infoLogger - 
2019-08-22 13:04:24.719 [main] INFO  infoLogger - 
2019-08-22 13:12:16.246 [main] INFO  infoLogger - asdf
2019-08-22 13:12:18.158 [main] INFO  infoLogger - ef
2019-08-22 13:13:19.134 [main] INFO  infoLogger - sdfg
2019-08-22 13:14:43.905 [main] INFO  infoLogger - Девяткино
2019-08-22 13:14:45.886 [main] INFO  infoLogger - Озерки
2019-08-22 13:14:55.126 [main] INFO  infoLogger - учше
